Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801903067;Total;1.749
Ambos Sexos;0801903068;Total;1.175
Ambos Sexos;0801903069;Total;1.211
Ambos Sexos;0801903070;Total;1.341
Ambos Sexos;0801903071;Total;1.287
Ambos Sexos;0801903072;Total;1.488
Ambos Sexos;0801903073;Total;1.650
Ambos Sexos;0801903074;Total;1.765
Ambos Sexos;0801903075;Total;1.756
Ambos Sexos;0801903076;Total;1.080
Ambos Sexos;0801903077;Total;1.342
Ambos Sexos;0801903078;Total;1.745
Ambos Sexos;0801903079;Total;1.814
Ambos Sexos;0801903080;Total;1.551
Ambos Sexos;0801903081;Total;1.901
Ambos Sexos;0801903082;Total;1.980
Ambos Sexos;0801903083;Total;1.399
Ambos Sexos;0801903084;Total;1.445
Ambos Sexos;0801903085;Total;1.375
Ambos Sexos;0801903086;Total;1.240
Ambos Sexos;0801903087;Total;1.492
Ambos Sexos;0801903088;Total;1.383
Ambos Sexos;0801903089;Total;1.244
Ambos Sexos;0801903090;Total;1.029
Ambos Sexos;0801903091;Total;1.492
Ambos Sexos;0801903092;Total;1.222
Ambos Sexos;0801903093;Total;1.517
Ambos Sexos;0801903094;Total;1.225
Ambos Sexos;0801903095;Total;1.650
Ambos Sexos;0801903096;Total;1.565
Ambos Sexos;0801903097;Total;1.740
Ambos Sexos;0801903098;Total;1.449
Ambos Sexos;0801903099;Total;981
Ambos Sexos;0801903100;Total;1.343
Ambos Sexos;0801903101;Total;4.039
Ambos Sexos;0801903102;Total;1.323
Ambos Sexos;0801903103;Total;1.196
Ambos Sexos;0801903104;Total;1.448
Ambos Sexos;0801903105;Total;1.151
Ambos Sexos;0801903106;Total;1.272
Ambos Sexos;0801903107;Total;1.603
Ambos Sexos;0801903108;Total;1.683
Ambos Sexos;0801903109;Total;1.579
Ambos Sexos;0801903110;Total;1.509
Ambos Sexos;0801903111;Total;1.289
Ambos Sexos;0801903112;Total;1.892
Ambos Sexos;0801903113;Total;1.683
Ambos Sexos;0801903114;Total;1.481
Ambos Sexos;0801903211;Total;1.527
Ambos Sexos;0801903212;Total;2.487
Ambos Sexos;0801903213;Total;2.451
Ambos Sexos;0801904001;Total;1.266
Ambos Sexos;0801904002;Total;1.958
Ambos Sexos;0801904003;Total;1.097
Ambos Sexos;0801904004;Total;1.005
Ambos Sexos;0801904005;Total;1.217
Ambos Sexos;0801904006;Total;1.109
Ambos Sexos;0801904007;Total;1.067
Ambos Sexos;0801904008;Total;1.006
Ambos Sexos;0801904009;Total;1.453
Ambos Sexos;0801904010;Total;924
Ambos Sexos;0801904011;Total;1.760
Ambos Sexos;0801904012;Total;1.436
Ambos Sexos;0801904013;Total;1.226
Ambos Sexos;0801904014;Total;850
Ambos Sexos;0801904015;Total;1.910
Ambos Sexos;0801904016;Total;1.075
Ambos Sexos;0801904017;Total;1.210
Ambos Sexos;0801904018;Total;1.548
Ambos Sexos;0801904019;Total;1.376
Ambos Sexos;0801904020;Total;1.504
Ambos Sexos;0801904021;Total;1.330
Ambos Sexos;0801904022;Total;1.631
Ambos Sexos;0801904023;Total;1.050
Ambos Sexos;0801904024;Total;1.046
Ambos Sexos;0801904025;Total;1.179
Ambos Sexos;0801904026;Total;1.235
Ambos Sexos;0801904027;Total;1.331
Ambos Sexos;0801904028;Total;1.324
Ambos Sexos;0801904029;Total;1.143
Ambos Sexos;0801904030;Total;1.849
Ambos Sexos;0801904031;Total;1.927
Ambos Sexos;0801904032;Total;1.583
Ambos Sexos;0801904033;Total;1.156
Ambos Sexos;0801904034;Total;1.500
Ambos Sexos;0801904035;Total;1.406
Ambos Sexos;0801904036;Total;1.716
Ambos Sexos;0801904037;Total;2.107
Ambos Sexos;0801904038;Total;1.253
Ambos Sexos;0801904039;Total;1.200
Ambos Sexos;0801904040;Total;1.639
Ambos Sexos;0801904041;Total;1.329
Ambos Sexos;0801904042;Total;1.759
Ambos Sexos;0801904043;Total;1.647
Ambos Sexos;0801904044;Total;1.606
Ambos Sexos;0801904045;Total;1.416
Ambos Sexos;0801904046;Total;2.430
Ambos Sexos;0801904047;Total;1.801
Ambos Sexos;0801904048;Total;1.507
Ambos Sexos;0801904049;Total;1.187
Ambos Sexos;0801904050;Total;2.043
Ambos Sexos;0801904051;Total;1.648
Ambos Sexos;0801904052;Total;2.196
Ambos Sexos;0801904053;Total;1.676
Ambos Sexos;0801904054;Total;1.032
Ambos Sexos;0801904055;Total;1.522
Ambos Sexos;0801904056;Total;1.788
Ambos Sexos;0801904084;Total;1.343
Ambos Sexos;0801905001;Total;1.766
Ambos Sexos;0801905002;Total;1.571
Ambos Sexos;0801905003;Total;1.362
Ambos Sexos;0801905004;Total;1.107
Ambos Sexos;0801905005;Total;1.253
Ambos Sexos;0801905006;Total;1.832
Ambos Sexos;0801905007;Total;1.787
Ambos Sexos;0801905008;Total;1.693
Ambos Sexos;0801905009;Total;1.717
Ambos Sexos;0801905010;Total;1.597
Ambos Sexos;0801905011;Total;1.408
Ambos Sexos;0801905012;Total;1.373
Ambos Sexos;0801905013;Total;1.694
Ambos Sexos;0801905014;Total;1.598
Ambos Sexos;0801905015;Total;1.612
Ambos Sexos;0801905016;Total;1.944
Ambos Sexos;0801905017;Total;1.577
Ambos Sexos;0801905018;Total;1.273
Ambos Sexos;0801905019;Total;1.706
Ambos Sexos;0801905020;Total;1.155
Ambos Sexos;0801905021;Total;1.348
Ambos Sexos;0801905022;Total;1.774
Ambos Sexos;0801905023;Total;1.466
Ambos Sexos;0801905024;Total;1.947
Ambos Sexos;0801905025;Total;1.315
Ambos Sexos;0801905026;Total;1.445
Ambos Sexos;0801905027;Total;1.410
Ambos Sexos;0801905028;Total;1.678
Ambos Sexos;0801905029;Total;1.664
Ambos Sexos;0801905030;Total;1.420
Ambos Sexos;0801905031;Total;1.673
Ambos Sexos;0801905032;Total;1.840
Ambos Sexos;0801905033;Total;1.382
Ambos Sexos;0801905034;Total;1.342
Ambos Sexos;0801905035;Total;1.078
Ambos Sexos;0801905036;Total;1.740
Ambos Sexos;0801905037;Total;1.435
Ambos Sexos;0801905038;Total;1.358
Ambos Sexos;0801905039;Total;1.521
Ambos Sexos;0801905040;Total;1.436
Ambos Sexos;0801905041;Total;1.927
Ambos Sexos;0801905042;Total;1.315
Ambos Sexos;0801905043;Total;1.469
Ambos Sexos;0801905044;Total;1.353
Ambos Sexos;0801905045;Total;1.639
Ambos Sexos;0801905046;Total;1.149
Ambos Sexos;0801905047;Total;1.270
Ambos Sexos;0801905048;Total;1.266
Ambos Sexos;0801905049;Total;1.690
Ambos Sexos;0801905050;Total;1.647
Ambos Sexos;0801905051;Total;1.617
Ambos Sexos;0801905052;Total;1.473
Ambos Sexos;0801905053;Total;1.478
Ambos Sexos;0801905054;Total;1.050
Ambos Sexos;0801905055;Total;1.437
Ambos Sexos;0801905056;Total;1.203
Ambos Sexos;0801905057;Total;1.693
Ambos Sexos;0801905058;Total;1.568
Ambos Sexos;0801905059;Total;1.565
Ambos Sexos;0801905060;Total;1.173
Ambos Sexos;0801905061;Total;1.479
Ambos Sexos;0801905062;Total;1.627
Ambos Sexos;0801905063;Total;1.623
